"titulo","autor","precio","enlace","editorial","encuadernacion","paginas","publicacion","precio_pag","anio"
"LAS CINCO DISFUNCIONES DE UN EQUIPO","Patrick Lencioni",33800,"https://www.yenny-elateneo.com/productos/las-cinco-disfunciones-de-un-equipo/","Empresa Activa","Tapa Blanda",224,"04/2023",150.892857142857,2023
"HERRAMIENTAS PARA LIDERES DEL SIGLO XXI","Paula Molinari",31990,"https://www.yenny-elateneo.com/productos/herramientas-para-lideres-del-siglo-xxi/","Temas Grupo Editorial Srl","Tapa Blanda",224,"03/2025",142.8125,2025
"GUIA ARGENTINA DE FRANQUICIAS 2025","Roberto Russo",40000,"https://www.yenny-elateneo.com/productos/guia-argentina-de-franquicias-2025/","Best De Argentina","Tapa Blanda",362,"01/2025",110.497237569061,2025
"DIRIGIR CON INTELIGENCIA EMOCIONAL","Albert Alegre Rosello",27740.76,"https://www.yenny-elateneo.com/productos/dirigir-con-inteligencia-emocional/","Piramide","Tapa Blanda",168,"05/2021",165.123571428571,2021
"SENTIDO DE LIDER","Alberto Sanjurjo",26000,"https://www.yenny-elateneo.com/productos/sentido-de-lider1/","Autores Editores","Tapa Blanda",264,"03/2024",98.4848484848485,2024
"PIENSE Y HAGASE RICO. EL LEGADO","Napoleon Hill",29900,"https://www.yenny-elateneo.com/productos/piense-y-hagase-rico-el-legado/","Del Fondo Editorial","Tapa Blanda",350,"08/2022",85.4285714285714,2022
"VENDELE A LA MENTE NO A LA GENTE","Jurgen Klaric",27900,"https://www.yenny-elateneo.com/productos/vendele-a-la-mente-no-a-la-gente/","Booket","Tapa Blanda",240,"08/2023",116.25,2023
"ARTE DE LA SEDUCCION EL - N.E","Robert Greene",42700,"https://www.yenny-elateneo.com/productos/arte-de-la-seduccion-el-n-e/","Oceano","Tapa Blanda",588,"07/2023",72.6190476190476,2023
"STEVE JOBS. LECCIONES DE LIDERAZGO","Walter Isaacson",28999,"https://www.yenny-elateneo.com/productos/steve-jobs-lecciones-de-liderazgo/","Debate","Tapa Blanda",112,"05/2014",258.919642857143,2014
"MALA LECHE","Soledad Barruti",29900,"https://www.yenny-elateneo.com/productos/mala-leche1/","Siglo Xxi Editores Argentina","Tapa Blanda",432,"11/2024",69.212962962963,2024
"100 SECRETOS DE INNOVACION","Martina Rua",35699,"https://www.yenny-elateneo.com/productos/100-secretos-de-innovacion/","Conecta","Tapa Blanda",224,"04/2025",159.370535714286,2025
"COMO DAR UN FEEDBACK EFECTIVO","Harvard Business Review",10662.8,"https://www.yenny-elateneo.com/productos/como-dar-un-feedback-efectivo/","Reverte","Tapa Blanda",NA,"01/2025",NA,2025
"COMO GESTIONAR LA RELACIÓN CON TU SUPERIOR","Harvard Business Review",10662.8,"https://www.yenny-elateneo.com/productos/como-gestionar-la-relacion-con-tu-superior/","Reverte","Tapa Blanda",NA,"01/2025",NA,2025
"LA ACTITUD MENTAL POSITIVA","Napoleon Hill / W. Clement Stone",28599,"https://www.yenny-elateneo.com/productos/la-actitud-mental-positiva/","Debols!llo","Tapa Blanda",416,"01/2024",68.7475961538462,2024
"MENTE MILLONARIA","Gerardo Garcia Manjarrez",20500,"https://www.yenny-elateneo.com/productos/mente-millonaria/","V & R Editoras","Tapa Blanda",NA,"03/2019",NA,2019
