"","editorial","paginas","anio","id_libro"
"507","DIAZ DE SANTOS
","190
","01/01/2011
",507
"508","DIAZ DE SANTOS
","168
","01/01/2011
",508
"509","DUNKEN SRL
","10
","01/01/2022
",509
"510","DUNKEN SRL
","10
","01/01/2022
",510
"511","COOPERATIVAS
","404
","01/01/2001
",511
"512","COOPERATIVAS
","152
","01/01/2000
",512
"513","COOPERATIVAS
","288
","01/01/2001
",513
"514","GEDISA
","160
","01/01/2009
",514
"515","DUNKEN SRL
","10
","01/01/2021
",515
"516","SIGLO VEINTIUNO EDITORES ARGENTINA S.A.
","400
","01/01/2020
",516
"517","SIGLO VEINTIUNO EDITORES ARGENTINA S.A.
","10
","01/01/2020
",517
"518","PARANINFO
","228
","01/01/2014
",518
"519","DUNKEN SRL
","144
","01/01/2019
",519
"520","DUNKEN SRL
","10
","01/01/2019
",520
"521","PARANINFO
","260
","01/01/2010
",521
